,title,description
0,3d,3D modeling is the process of virtually developing the surface and structure of a 3D object.
1,ajax,Ajax is a technique for creating interactive web applications.
2,algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.
3,amp,Amp is a non-blocking concurrency library for PHP.
4,android,Android is an operating system built by Google designed for mobile devices.
5,angular,Angular is an open source web application platform.
6,ansible,Ansible is a simple and powerful automation engine.
7,api,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
8,arduino,Arduino is an open source hardware and software company and maker community.
9,asp.net,ASP.NET is a web framework for building modern web apps and services.
10,atom,Atom is a open source text editor built with web technologies.
11,awesome lists,An awesome list is a list of awesome things curated by the community.
12,amazon web services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
13,azure,Azure is a cloud computing service created by Microsoft.
14,babel,"Babel is a compiler for writing next generation JavaScript, today."
15,bash,Bash is a shell and command language interpreter for the GNU operating system.
16,bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
17,bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework."
18,bot,A bot is an application that runs automated tasks over the Internet.
19,c,C is a general purpose programming language that first appeared in 1972.
20,chrome,Chrome is a web browser from the tech company Google.
21,chrome extension,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.
22,command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program."
23,clojure,"Clojure is a dynamic, general-purpose programming language."
24,code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them."
25,code review,Ensure your code meets quality standards and ship with confidence.
26,compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
27,continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production."
28,covid-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.
29,c++,C++ is a general purpose and object-oriented programming language.
30,cryptocurrency,A cryptocurrency is a digital currency that uses cryptography.
31,crystal,"Crystal is a self-hosted, general purpose programming language."
32,c#,"C# (""C sharp"") is an object-oriented and type-safe programming language."
33,css,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.
34,data structures,Data structures are a way of organizing and storing data.
35,data visualization,Data visualization is the graphic representation of data and trends.
36,database,"A database is a structured set of data held in a computer, usually a server."
